v_perp_0,v_perp_1,v_para
-1454.4785892167588,-644.5947790082305,950.1084520642708
-1454.4785892167588,-644.5947790082305,950.1084520642708
-1141.3189415835302,-915.0089575778096,1137.4825560673362
-1141.3189415835302,-915.0089575778096,1137.4825560673362
-721.6925457185027,-1147.0696772818271,1263.767352820536
-721.6925457185027,-1147.0696772818271,1263.767352820536
-272.22236510993224,-1292.1861684102416,1299.9487693862266
-272.22236510993224,-1292.1861684102416,1299.9487693862266
210.68897274867524,-1353.3684418102353,1248.0869994486509
210.68897274867524,-1353.3684418102353,1248.0869994486509
672.8720335738052,-1321.166280261741,1111.521393294788
672.8720335738052,-1321.166280261741,1111.521393294788
1087.3175512652267,-1200.063370663821,900.7247207132276
1087.3175512652267,-1200.063370663821,900.7247207132276
1431.5793863265983,-995.9224368632644,626.4468426941066
1431.5793863265983,-995.9224368632644,626.4468426941066
-1327.3211604298804,-588.2411689745855,867.0453824229935
-1327.3211604298804,-588.2411689745855,867.0453824229935
-1041.5392883661716,-835.014439971928,1038.0382998252517
-1041.5392883661716,-835.014439971928,1038.0382998252517
-658.5987073777451,-1046.7873116226028,1153.2827022587617
-658.5987073777451,-1046.7873116226028,1153.2827022587617
-248.42337488551888,-1179.2170040826934,1186.300955266485
-248.42337488551888,-1179.2170040826934,1186.300955266485
192.26951953166696,-1235.0504166468736,1138.9731690670606
192.26951953166696,-1235.0504166468736,1138.9731690670606
614.0462870383024,-1205.6635154532376,1014.3467872290156
614.0462870383024,-1205.6635154532376,1014.3467872290156
992.2590415487344,-1095.1480621671913,821.9790207779351
992.2590415487344,-1095.1480621671913,821.9790207779351
1306.423809306492,-908.854050273782,571.6797826520415
1306.423809306492,-908.854050273782,571.6797826520415
-1211.2990598474612,-536.8226102482424,791.2563429431475
-1211.2990598474612,-536.8226102482424,791.2563429431475
-950.497629760789,-762.0252615447088,947.3026750321588
-950.497629760789,-762.0252615447088,947.3026750321588
-601.0301325169481,-955.2869242137494,1052.4734773944456
-601.0301325169481,-955.2869242137494,1052.4734773944456
-226.70851679300395,-1076.1407921908158,1082.6055173145892
-226.70851679300395,-1076.1407921908158,1082.6055173145892
175.4631093305202,-1127.0937747919345,1039.4147067395832
175.4631093305202,-1127.0937747919345,1039.4147067395832
560.3720995644464,-1100.2756301338234,925.6820234404986
560.3720995644464,-1100.2756301338234,925.6820234404986
905.5249738039478,-999.42039934285,750.1292487489036
905.5249738039478,-999.42039934285,750.1292487489036
1192.228452505895,-829.4104911095371,521.7088460466139
1192.228452505895,-829.4104911095371,521.7088460466139
-1105.376797738959,-489.88007358897727,722.06480526829
-1105.376797738959,-489.88007358897727,722.06480526829
-867.3812173752942,-695.3897885296338,864.4655880849241
-867.3812173752942,-695.3897885296338,864.4655880849241
-548.4729552874105,-871.7516742394572,960.4397282469316
-548.4729552874105,-871.7516742394572,960.4397282469316
-206.88395856442156,-982.0374641902728,987.9368989378706
-206.88395856442156,-982.0374641902728,987.9368989378706
160.1197065365744,-1028.534833337007,948.5228674086504
160.1197065365744,-1028.534833337007,948.5228674086504
511.3702459602255,-1004.0618095458204,844.7355676224743
511.3702459602255,-1004.0618095458204,844.7355676224743
826.3411771739155,-912.0258364167292,684.5339968108483
826.3411771739155,-912.0258364167292,684.5339968108483
1087.9738392714928,-756.8825704280584,476.08795177802494
1087.9738392714928,-756.8825704280584,476.08795177802494
-1008.7540972234822,-447.0588928849033,658.9480085397108
-1008.7540972234822,-447.0588928849033,658.9480085397108
-791.5620455027405,-634.6046976085779,788.9013144349456
-791.5620455027405,-634.6046976085779,788.9013144349456
-500.5300554012158,-795.5504605188621,876.4861483634231
-500.5300554012158,-795.5504605188621,876.4861483634231
-188.7999060894479,-896.1960247560513,901.57977245016
-188.7999060894479,-896.1960247560513,901.57977245016
146.12339003419953,-938.6290169759162,865.6110366500241
146.12339003419953,-938.6290169759162,865.6110366500241
466.6705845594921,-916.2951996811008,770.8959161096905
466.6705845594921,-916.2951996811008,770.8959161096905
754.1093823887925,-832.304292347116,624.6978853029714
754.1093823887925,-832.304292347116,624.6978853029714
992.8723233317736,-690.722270966006,434.4723562316676
992.8723233317736,-690.722270966006,434.4723562316676
-920.5735439489576,-407.9791507678277,601.3459193566696
-920.5735439489576,-407.9791507678277,601.3459193566696
-722.3674705829809,-579.1305829257516,719.9393345911376
-722.3674705829809,-579.1305829257516,719.9393345911376
-456.77608032176266,-726.0072830276537,799.8679684322087
-456.77608032176266,-726.0072830276537,799.8679684322087
-172.29590118941815,-817.8548517628997,822.7679812623487
-172.29590118941815,-817.8548517628997,822.7679812623487
133.3499827581186,-856.5785629994961,789.9434787983885
133.3499827581186,-856.5785629994961,789.9434787983885
425.8764427339977,-836.1970643915289,703.5079129794699
425.8764427339977,-836.1970643915289,703.5079129794699
688.188719699379,-759.5482038475112,570.0897644266397
688.188719699379,-759.5482038475112,570.0897644266397
906.0800699204524,-630.3426215691763,396.49288425508894
906.0800699204524,-630.3426215691763,396.49288425508894
-840.118710812036,-372.3232263910804,548.7904292746471
-840.118710812036,-372.3232263910804,548.7904292746471
-659.2351467698438,-528.5166294891886,657.0192052307466
