v_para,v_perp_0,v_perp_1,f(v),counts
-1276.2471661087297,-64.97859920299929,-1843.1269955374623,0.0,0.0
-1685.8330216988593,-83.09633124243912,-1476.8914282341268,0.0,0.0
-2016.766994455195,-97.15058888320281,-976.4008198620006,0.0,0.0
-2198.223700872445,-104.0872351284889,-432.57877681156424,0.0,0.0
-2234.746898664619,-104.10686145212713,158.789013389846,0.0,0.0
-2117.9127600571123,-97.00425177190719,731.5607649428337,0.0,0.0
-1858.9005534279395,-83.39862098263764,1252.0699691564755,0.0,0.0
-1470.5736642047118,-63.972211493590244,1692.1782171703837,0.0,0.0
-1137.4014333457926,-57.90941955087729,-1642.609035623436,0.0,0.0
-1502.4275027203248,-74.05608701695097,-1316.217116570435,0.0,0.0
-1797.3585251975242,-86.58135049314869,-870.1759269380672,0.0,0.0
-1959.0741138684584,-92.76333483571969,-385.5175660178481,0.0,0.0
-1991.6238269344626,-92.78084149627419,141.51399366803622,0.0,0.0
-1887.5004065003036,-86.45093216643373,651.9725831985314,0.0,0.0
-1656.666703511945,-74.32547851616143,1115.8544140129165,0.0,0.0
-1310.5866410220851,-57.01252149300887,1508.0823227351768,0.0,0.0
-1013.6783248340121,-51.61020802253277,-1463.9310142234874,0.0,0.0
-1338.9979982666086,-66.00049620093024,-1173.0429927315604,0.0,0.0
-1601.8472712177663,-77.16328850036011,-775.5208866105139,0.0,0.0
-1745.971904165956,-82.67283546060686,-343.5821328194664,0.0,0.0
-1774.9809727490115,-82.68842281391329,126.12054890045053,0.0,0.0
-1682.1837835425363,-77.04706897575936,581.0529905435744,0.0,0.0
-1476.4594139413293,-66.24059097690224,994.4751777462906,0.0,0.0
-1168.025048606106,-50.810873570361764,1344.0377493900971,0.0,0.0
-903.3888390296427,-45.99495168672435,-1304.6533197465744,0.0,0.0
-1193.3132197792734,-58.81956260062608,-1045.4143291783487,0.0,0.0
-1427.5641619321887,-68.76783834765087,-691.1431464652605,0.0,0.0
-1556.0078777762474,-73.67791986806337,-306.19993715097485,0.0,0.0
-1581.8607417834664,-73.69181958762056,112.39844258341328,0.0,0.0
-1499.1599622698755,-68.66425041112731,517.8336631899596,0.0,0.0
-1315.8187706872723,-59.03352219767221,886.2749443888716,0.0,0.0
-1040.9423665116751,-45.28259075508823,1197.804581322913,0.0,0.0
-805.1130313293613,-40.99136754869498,-1162.7257745899683,0.0,0.0
-1063.4978531690856,-52.42084207415153,-931.6882821810202,0.0,0.0
-1272.2656251220842,-61.28688640760726,-615.9567037871492,0.0,0.0
-1386.7364385141414,-65.66283730373384,-272.88977139531625,0.0,0.0
-1409.7770092508704,-65.67520842150381,100.17111780474657,0.0,0.0
-1336.0728237469007,-61.194568433438164,461.5007943227809,0.0,0.0
-1172.676525825699,-52.61153063459726,789.8609862128707,0.0,0.0
-927.7026927828906,-40.35649840704882,1067.5006156037311,0.0,0.0
-717.5580834960065,-36.533602984048215,-1036.2809091129748,0.0,0.0
-947.8438614547542,-46.72014175526494,-830.3683988954491,0.0,0.0
-1133.9085378091324,-54.62200417557801,-548.9722400707914,0.0,0.0
-1235.93081069301,-58.522077487464905,-243.21338326556804,0.0,0.0
-1256.4656844174997,-58.53310899726088,89.2776301248434,0.0,0.0
-1190.7767848573585,-54.539728840630005,411.31317905233414,0.0,0.0
-1045.149566295381,-46.890087597967785,703.9646561748872,0.0,0.0
-826.8163160169397,-35.96777316062618,951.4113830328705,0.0,0.0
-639.4966868461433,-32.55920653030154,-923.5464871357744,0.0,0.0
-844.7302398871473,-41.63757312608432,-740.0346559748634,0.0,0.0
-1010.5533740315802,-48.6798119745132,-489.2508804181596,0.0,0.0
-1101.4769048172466,-52.15560318592544,-216.75479434169645,0.0,0.0
-1119.7778377895288,-52.16543700968138,79.56533740286868,0.0,0.0
-1061.2350032384534,-48.606491165963035,366.56742888285663,0.0,0.0
-931.4502492360607,-41.789031477144796,627.3820443488918,0.0,0.0
-736.868947048383,-32.054933537930246,847.9096552672771,0.0,0.0
-569.9277935392599,-29.01718138433098,-823.0765563923715,0.0,0.0
-752.8345810235935,-37.1079414216564,-659.5284486451551,0.0,0.0
-900.6182465662907,-43.38408310952109,-436.0267135543229,0.0,0.0
-981.6504803538867,-46.48174671996499,-193.17467490244718,0.0,0.0
-997.9605383629441,-46.49051309283451,70.90965757101405,0.0,0.0
-945.7864939295787,-43.31872711650895,326.6896526273078,0.0,0.0
-830.120561287192,-37.24292279108392,559.1310210902639,0.0,0.0
-656.7072225068479,-28.56776482466467,755.668046455127,0.0,0.0
-507.94062294085325,-25.861185733386833,-733.556214044277,0.0,0.0
-670.9539560791618,-33.07196434315584,-587.7961211097188,0.0,0.0
-802.6642231639757,-38.66549670999105,-388.60309312491523,0.0,0.0
-874.8831025760894,-41.426254552878824,-172.1643954577165,0.0,0.0
-889.41922419244,-41.434056784546065,63.197306292651085,0.0,0.0
-842.91976886106,-38.60725044900444,291.1578585949833,0.0,0.0
-739.8340376937565,-33.19227533321536,498.31816291788664,0.0,0.0
-585.2816627267594,-25.460650218817598,673.479284206653,0.0,0.0
-452.6728032349489,-23.0472934262861,-653.7396756817515,0.0,0.0
-597.949016404265,-29.473487851683288,-523.8394170946747,0.0,0.0
-715.3282015721627,-34.45839812049636,-346.32010542689744,0.0,0.0
-779.6891222079373,-36.91876622430878,-153.431593851253,0.0,0.0
-792.6436003775848,-36.925720151523166,56.32096075510605,0.0,0.0
-751.2036477250092,-34.406490091439565,259.47768334927986,0.0,0.0
-659.3344311954827,-29.580704746952897,444.0973690553144,0.0,0.0
-521.5985555980521,-22.69033853867724,600.1995882262224,0.0,0.0
-403.42324903673716,-20.539810701508607,-582.6146248223281,0.0,0.0
-532.8938187409976,-26.26685281868935,-466.84710794266266,0.0,0.0
-637.5024721394084,-30.709416247912277,-308.6414482012734,0.0,0.0
-694.8610851811716,-32.902099792388384,-136.73865917801817,0.0,0.0
-706.4061353617956,-32.908303301586336,50.193396945090164,0.0,0.0
-669.4747996151182,-30.663158018579356,231.24722514151398,0.0,0.0
-587.600658430902,-26.362405236471396,395.7808046825935,0.0,0.0
-464.85005415039745,-20.2216928639638,534.8995310928346,0.0,0.0
-359.55702335061096,-18.30641207590177,-519.2640174462565,0.0,0.0
-474.94959995585907,-23.410723302274526,-416.0844952459115,0.0,0.0
