v_para,v_perp_0,v_perp_1,f(v),counts
-227.3110104767693,-2231.1910209162015,-16.204219860934256,0.0,0.0
-658.6141308736187,-2117.1917825807495,-337.45040991493755,0.0,0.0
-1083.6417373797449,-1847.7776952913443,-664.518067635362,0.0,0.0
-1417.488367142083,-1466.576686098257,-932.7517103083887,0.0,0.0
-1664.995391961551,-972.1928300287418,-1145.7650498870478,0.0,0.0
-1795.3629538134264,-417.7659490028696,-1277.610699492103,0.0,0.0
-1804.026256413752,161.9743366943529,-1322.648677618172,0.0,0.0
-1689.698888814586,736.253096974355,-1277.8871578801795,0.0,0.0
-202.58138403369958,-1988.4547403251006,-14.441380083932497,0.0,0.0
-586.962035406621,-1886.857775115078,-300.73844212787884,0.0,0.0
-965.7500324874272,-1646.7538330572775,-592.2237530188877,0.0,0.0
-1263.2766852669083,-1307.0245731567854,-831.2756236459312,0.0,0.0
-1483.8568440731397,-866.4258251768302,-1021.1147281163422,0.0,0.0
-1600.041455135346,-372.3163566213813,-1138.6166247432243,0.0,0.0
-1607.7622373175036,144.35268207066105,-1178.7548168440744,0.0,0.0
-1505.8727283681728,656.1544521613581,-1138.8629368975046,0.0,0.0
-180.54517147454317,-1772.1566560348826,-12.870472559433358,0.0,0.0
-523.1140974268492,-1681.611094637533,-268.0250292180538,0.0,0.0
-860.6986170604287,-1467.6249735099163,-527.8034109312359,0.0,0.0
-1125.8612408667104,-1164.8503678616273,-740.851934919965,0.0,0.0
-1322.4473660378353,-772.1786086380336,-910.0409422623038,0.0,0.0
-1425.9937688252176,-331.8168792209231,-1014.7613305384822,0.0,0.0
-1432.874677730484,128.65050988597596,-1050.5333825500404,0.0,0.0
-1342.06851166673,584.779978763426,-1014.9809203746397,0.0,0.0
-160.90168269180504,-1579.3436407139739,-11.470196855468647,0.0,0.0
-466.1985920147781,-1498.649540735506,-238.8635435064993,0.0,0.0
-767.0534906759931,-1307.9453946554954,-470.3776976384547,0.0,0.0
-1003.3660675964711,-1038.1131157023694,-660.2462813059121,0.0,0.0
-1178.5633706829904,-688.1645983036472,-811.027295631325,0.0,0.0
-1270.8437654294758,-295.7147577436118,-904.3539538990353,0.0,0.0
-1276.9760722570572,114.65310120836779,-936.2340080881272,0.0,0.0
-1196.0496476025655,521.1550776088059,-904.5496143882267,0.0,0.0
-143.39784200580107,-1407.5336956702647,-10.222359672792686,0.0,0.0
-415.4828576114305,-1335.617996351747,-212.87859823402607,0.0,0.0
-683.6090455692101,-1165.6596959128226,-419.20732608818935,0.0,0.0
-894.2141748095746,-925.1812442370634,-588.4208902677077,0.0,0.0
-1050.3526053493115,-613.3021621909987,-722.7991759441137,0.0,0.0
-1132.5941705410442,-263.54520942561106,-805.9731946204884,0.0,0.0
-1138.0593889018928,102.18054422358078,-834.3851651800486,0.0,0.0
-1065.9365492483957,464.460910898352,-806.1475455299844,0.0,0.0
-127.80352271207448,-1254.4663041624028,-9.110704925682583,0.0,0.0
-370.2996453782507,-1190.3712895847755,-189.7283359515555,0.0,0.0
-609.2675326268363,-1038.895815613112,-373.61915219622625,0.0,0.0
-796.9696394840284,-824.5690823419123,-524.4309686811004,0.0,0.0
-936.1281815885159,-546.6064030909566,-644.1957554227721,0.0,0.0
-1009.4261184876159,-234.88508571692475,-718.3247395607737,0.0,0.0
-1014.296975549867,91.0685207675628,-743.6469237339837,0.0,0.0
-950.0174155429304,413.95141012344095,-718.4801228375716,0.0,0.0
-113.9000713374553,-1117.9960168911628,-8.119551442304902,0.0,0.0
-330.0156476299162,-1060.8737090278144,-169.08824866171463,0.0,0.0
-542.9867949992404,-925.8768564427049,-332.97402652854555,0.0,0.0
-710.2692502665814,-734.8662209101956,-467.3793983586741,0.0,0.0
-834.2890759329966,-487.1424184361849,-574.1152647159652,0.0,0.0
-899.6130649747065,-209.33246395762592,-640.1798987188149,0.0,0.0
-903.9540466385697,81.16140890336779,-662.7473588373676,0.0,0.0
-846.6673140945059,368.91866185178884,-640.3183958374499,0.0,0.0
-101.50927240859164,-996.372532192613,-7.2362982343643845,0.0,0.0
-294.1142604777524,-945.4643962504574,-150.69367318248777,0.0,0.0
-483.91686376044163,-825.1534349849718,-296.7507596528368,0.0,0.0
-633.0011533017096,-654.9222878353299,-416.5345750119354,0.0,0.0
-743.5292474527887,-434.1476471395049,-511.65897298303184,0.0,0.0
-801.7468938849379,-186.55984949342937,-570.5366870562497,0.0,0.0
-805.6155829842755,72.33209629091083,-590.6490567963779,0.0,0.0
-754.5609145754934,328.7850354201271,-570.6600850421655,0.0,0.0
-90.46876597683149,-888.0039517743894,-6.4492186440633175,0.0,0.0
-262.1254671603492,-842.6327835188374,-134.30375266595448,0.0,0.0
-431.28457359988533,-735.4071909497742,-264.4752321916782,0.0,0.0
-564.1539712316262,-583.6908926452827,-371.2309641416958,0.0,0.0
-662.6606778840396,-386.9283846751864,-456.0093440048182,0.0,0.0
-714.5463749808114,-166.26900766517224,-508.48331320009345,0.0,0.0
-717.9943005501882,64.46502206427519,-526.4081964217818,0.0,0.0
-672.4925147693866,293.02541110437016,-508.5933096666302,0.0,0.0
-80.6250817075761,-791.3823222541884,-5.747498849709778,0.0,0.0
-233.60419959838327,-750.9478913506173,-119.69045993302323,0.0,0.0
-384.35750458694383,-655.3892572090743,-235.6982933862604,0.0,0.0
-502.7697017928549,-520.1808566364234,-330.83818766090815,0.0,0.0
-590.5581265063265,-344.8276079922263,-406.3920317133507,0.0,0.0
-636.7982743333087,-148.17764308261508,-453.15644368176015,0.0,0.0
-639.8710403240693,57.45076612773319,-469.13096480953845,0.0,0.0
-599.3201970481987,261.14199918163274,-453.25447411855663,0.0,0.0
-71.85328496516013,-705.2821272087708,-5.122179057939024,0.0,0.0
-208.18872021959032,-669.246813038844,-106.66848020837438,0.0,0.0
-342.54046464757994,-584.0847297603844,-210.05496984893546,0.0,0.0
-448.0697334953402,-463.5866084727039,-294.8439047872454,0.007163058,1.0
-526.3070125173435,-307.3113004382965,-362.1776857976333,0.0,0.0
-567.5164026111743,-132.05634425408684,-403.8542918858734,0.0,0.0
-570.2548338439301,51.20028769973269,-418.0908088439129,0.0,0.0
-534.1158020763432,232.73048081831152,-403.94162881662066,0.0,0.0
-64.04031980036052,-628.5932704911424,-4.565223427177312,0.0,0.0
-185.55130836305943,-596.4762628074747,-95.06987815076135,0.0,0.0
