,v_perp_0,v_para,v_perp_1,f(v)
0,-1454.4785892167588,950.1084520642708,-644.5947790082305,0.0
1,-1141.3189415835302,1137.4825560673362,-915.0089575778096,0.0
2,-721.6925457185027,1263.767352820536,-1147.0696772818271,0.0
3,-272.22236510993224,1299.9487693862266,-1292.1861684102416,0.0
4,210.68897274867524,1248.0869994486507,-1353.3684418102353,0.0
5,672.8720335738052,1111.5213932947881,-1321.166280261741,0.0
6,1087.3175512652267,900.7247207132277,-1200.063370663821,0.0
7,1431.5793863265985,626.4468426941066,-995.9224368632644,0.0
8,-1327.3211604298804,867.0453824229935,-588.2411689745855,0.0
9,-1041.5392883661716,1038.0382998252517,-835.014439971928,0.0
10,-658.5987073777451,1153.2827022587617,-1046.7873116226028,0.0
11,-248.42337488551888,1186.300955266485,-1179.2170040826934,0.0
12,192.26951953166696,1138.9731690670606,-1235.0504166468736,0.0
13,614.0462870383024,1014.3467872290157,-1205.6635154532376,0.0
14,992.2590415487344,821.9790207779351,-1095.1480621671913,0.0
15,1306.423809306492,571.6797826520415,-908.854050273782,0.0
16,-1211.2990598474612,791.2563429431475,-536.8226102482424,0.0
17,-950.497629760789,947.3026750321587,-762.0252615447088,0.0
18,-601.0301325169481,1052.4734773944456,-955.2869242137494,0.0
19,-226.70851679300395,1082.6055173145892,-1076.1407921908158,0.0
20,175.4631093305202,1039.4147067395832,-1127.0937747919343,0.0
21,560.3720995644464,925.6820234404986,-1100.2756301338234,0.0
22,905.5249738039478,750.1292487489036,-999.4203993428501,0.0
23,1192.2284525058947,521.7088460466139,-829.4104911095371,0.0
24,-1105.376797738959,722.06480526829,-489.88007358897727,0.0
25,-867.3812173752942,864.4655880849241,-695.3897885296338,0.0
26,-548.4729552874105,960.4397282469317,-871.7516742394572,0.0
27,-206.88395856442153,987.9368989378706,-982.0374641902729,0.0
28,160.1197065365744,948.5228674086504,-1028.534833337007,0.0
29,511.3702459602255,844.7355676224743,-1004.0618095458203,0.0
30,826.3411771739155,684.5339968108483,-912.0258364167291,0.0
31,1087.9738392714928,476.08795177802494,-756.8825704280584,0.0
32,-1008.7540972234822,658.9480085397108,-447.0588928849033,0.0
33,-791.5620455027405,788.9013144349456,-634.6046976085779,0.0
34,-500.5300554012158,876.4861483634231,-795.5504605188621,0.0
35,-188.7999060894479,901.5797724501599,-896.1960247560513,0.0
36,146.12339003419953,865.6110366500241,-938.6290169759162,0.0
37,466.6705845594921,770.8959161096905,-916.2951996811009,0.0
38,754.1093823887925,624.6978853029714,-832.304292347116,0.0
39,992.8723233317737,434.4723562316676,-690.722270966006,0.0
40,-920.5735439489576,601.3459193566696,-407.9791507678277,0.0
41,-722.3674705829809,719.9393345911376,-579.1305829257516,0.0
42,-456.77608032176266,799.8679684322087,-726.0072830276537,0.0
43,-172.29590118941815,822.7679812623487,-817.8548517628997,0.0
44,133.34998275811859,789.9434787983885,-856.5785629994961,0.0
45,425.8764427339977,703.5079129794699,-836.1970643915289,0.0
46,688.188719699379,570.0897644266397,-759.5482038475112,0.0
47,906.0800699204525,396.49288425508894,-630.3426215691763,0.0
48,-840.118710812036,548.7904292746471,-372.32322639108037,0.0
49,-659.2351467698438,657.0192052307466,-528.5166294891886,0.0
50,-416.85550436418816,729.9623114529045,-662.5567900464209,0.0
51,-157.2378707396692,750.8609700496179,-746.3772293864151,0.0
52,121.69566642423516,720.9052219178586,-781.7166481348992,0.0
53,388.65637691580696,642.0237798732201,-763.1163846575893,0.0
54,628.0435082885834,520.2659259487727,-693.1663843622814,0.0
55,826.8919617726342,361.8407682498223,-575.2528955794054,0.0
56,-766.6631723957147,500.80705011093323,-339.7692203298357,0.0
57,-601.5951046097995,599.572871595703,-482.3058970910544,0.0
58,-380.4078301397922,666.1382506788946,-604.6263267332857,0.0
59,-143.48981187874105,685.2096358383214,-681.1179365480901,0.0
60,111.05524462528196,657.8730256094868,-713.367429514882,0.0
61,354.6743128258501,585.8885905507304,-696.3935018608316,0.0
62,573.1306996416109,474.776626250793,-632.5595850223306,0.0
63,754.5928898643436,330.2033423306939,-524.9558431382711,0.0
64,-699.6253338082086,457.0159836318053,-310.05946148155584,0.0
65,-548.990982486649,547.1456304391158,-440.13259225965453,0.0
66,-347.1445694681392,607.890443058463,-551.7571767893434,0.0
67,-130.94291182764783,625.294251646742,-621.5603208236618,0.0
68,101.34444831573528,600.3479481091605,-650.9898526153889,0.0
69,323.6611955694776,534.6579149142563,-635.5001528901931,0.0
70,523.015503926061,433.26167635742604,-577.2479096521628,0.0
71,688.6104499583417,301.33000255195657,-479.05312602968337,0.0
72,-638.4363504518221,417.045514585966,-282.94175857102243,0.0
73,-500.97641549497246,499.2924659439245,-401.6387512305757,0.0
74,-316.7834399638205,554.7245488420758,-503.50067140397033,0.0
75,-119.49068870587698,570.6062134481255,-567.1988582667622,0.0
76,92.48089607443656,547.8417305493471,-594.0545060357997,0.0
77,295.3539019840525,487.8968975877915,-579.9195110874168,0.0
78,477.2727659040909,395.3687450858565,-526.761995035913,0.0
79,628.3848395043141,274.9758068164142,-437.1553278272707,0.0
80,-582.6072017224866,380.5762668800239,-258.1994446558467,0.0
81,-457.16768264989173,455.63098422463963,-366.51676923393615,0.0
